 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 17714.82 sec, current time: 507499447.19)
0.078	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.079	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.079	                       -	                   -	Blocking app contact
0.092	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.092	                       -	                   -	Creating a new encryption key
0.805	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
0.805	                       -	                   -	server_show_windows_for_asns start
0.805	                       -	                   -	Allowing apps to contact us
0.806	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.806	                       -	                   -	Still waiting for registration from Finder
0.806	                       -	                   -	Liveness: 3 -> 4 (add_app)
0.806	                       -	                   -	Finder not yet launched, but pretending it is
0.806	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
0.806	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.806	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.807	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.807	        com.apple.finder	                   -	Disposing because it has no windows
0.807	        com.apple.finder	            Disposed	
0.807	                       -	                   -	server_show_windows_for_asns end
0.807	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.807	                       -	                   -	Still waiting for registration from Finder
0.807	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.807	                       -	                   -	Still waiting for registration from Finder
0.945	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.945	                       -	                   -	Still waiting for registration from Finder
0.975	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.975	                       -	                   -	Still waiting for registration from Finder
1.467	        com.apple.finder	                   -	Finder checked in
1.467	                       -	                   -	All started apps have registered (no remaining unregistered apps)
1.468	                       -	                   -	TAL Relaunch - all apps registered as ready
1.468	                       -	                   -	Liveness: 4 -> 3 (__server_show_windows_for_asns_block_invoke30)
2.807	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.079	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.078	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.078	                       -	                   -	Exiting out of boredom
